time,x,y,z,product,zone,shelf
7.618,5.0,1.7000000476837158,12.0,,sin_clasificar,
7.632,5.0,1.7000000476837158,12.0,,sin_clasificar,
7.753,5.0,1.7000000476837158,12.0,,sin_clasificar,
7.765,5.0,1.7000000476837158,12.0,,sin_clasificar,
7.782,5.0,1.7000000476837158,12.0,,sin_clasificar,
7.834,5.0,1.7000000476837158,12.0,,sin_clasificar,
7.865,5.0,1.7000000476837158,12.0,,sin_clasificar,
7.901,5.0,1.7000000476837158,12.0,,sin_clasificar,
7.949,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.003,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.094,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.205,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.283,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.326,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.374,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.449,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.489,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.559,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.624,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.667,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.737,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.793,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.87,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.916,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.941,5.0,1.7000000476837158,12.0,,sin_clasificar,
8.977,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.023,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.047,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.097,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.179,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.256,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.326,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.403,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.457,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.495,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.595,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.654,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.743,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.851,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.922,5.0,1.7000000476837158,12.0,,sin_clasificar,
9.97,5.0,1.7000000476837158,12.0,,sin_clasificar,
10.018,5.0,1.7000000476837158,12.0,,sin_clasificar,
10.047,5.0,1.7000000476837158,12.0,,sin_clasificar,
10.093,5.0,1.7000000476837158,12.0,,sin_clasificar,
10.173,5.0,1.7000000476837158,12.0,,sin_clasificar,
